# $Header: /cvsroot/phpldapadmin/phpldapadmin/ldap_supported_oids.txt,v 1.1 2005/03/07 20:24:42 wurley Exp $

# If you find some reliable and more meaningful descriptions to this OIDS,
# then please let the phpldapadmin development know so that this file can be
# more descriptive.

1.2.826.0.1.334810.2.3		"LDAP_CONTROL_VALUESRETURNFILTER"
1.2.826.0.1.3344810.2.3		"Matched Values Control. RFC 3876 control"
1.2.826.0.1050.11.1.1		"Read-Only LDAP Server"
1.2.826.0.1050.11.2.1		"Read-Write LDAP Server"
1.2.826.0.1050.11.3.1		"White Pages Application LDAP Server"
1.2.826.0.1050.11.4.1		"Certificate Application LDAP Server"
1.2.826.0.1050.11.5.1		"Single Sign On Application LDAP Server"
1.2.840.113549.6.0.0		"Signed Operation"
1.2.840.113549.6.0.1		"Demand Signed Result"
1.2.840.113549.6.0.2		"Signed Result RFC 2649"
1.2.840.113556.1.4.319		"Pages Results RFC 2696"
1.2.840.113556.1.4.417		"Show deleted control (Stateless)"
1.2.840.113556.1.4.473		"LDAP Server Sort Result extesion"
1.2.840.113556.1.4.474		"LDAP Server Sort Result extension response control"
1.2.840.113556.1.4.521		"Cross-domain move control (Stateless)"
1.2.840.113556.1.4.528		"Server search notification control (Forbidden)"
1.2.840.113556.1.4.529		"Extended DN control (Stateless)"
1.2.840.113556.1.4.616		"LDAP_CONTROL_REFERRALS"
1.2.840.113556.1.4.619		"Lazy commit control (Stateless)"
1.2.840.113556.1.4.800		"LDAP_CAP_ACTIVE_DIRECTORY_OID"
1.2.840.113556.1.4.801		"Security descriptor flags control (Stateless)"
1.2.840.113556.1.4.802		"Attribute Range Option"
1.2.840.113556.1.4.803		"LDAP_MATCHING_RULE_BIT_AND"
1.2.840.113556.1.4.804		"LDAP_MATCHING_RULE_BIT_OR"
1.2.840.113556.1.4.805		"Tree Delete"
1.2.840.113556.1.4.841		"Directory synchronization control (Stateless)"
1.2.840.113556.1.4.906		"Microsoft Large Integer"
1.2.840.113556.1.4.970		"Get stats control (Stateless)"
1.2.840.113556.1.4.1302		"Microsoft OID used with DEN Attributes"
1.2.840.113556.1.4.1338		"Verify name control (Stateless)"
1.2.840.113556.1.4.1339		"Domain scope control (Stateless)"
1.2.840.113556.1.4.1340		"Search options control (Stateless)"
1.2.840.113556.1.4.1413		"LDAP ease modify restrictions"
1.2.840.113556.1.4.1504		"Attribute scoped query control (Stateless)"
1.2.840.113556.1.4.1670		"LDAP_CAP_ACTIVE_DIRECTORY_V51_OID"
1.2.840.113556.1.4.1781		"Fast concurrent bind extended operation (Forbidden)"
1.2.840.113556.1.4.1791		"LDAP_CAP_ACTIVE_DIRECTORY_LDAP_INTEG_OID"
1.2.840.113556.1.4.1852		"LDAP_SERVER_QUOTA_CONTROL_OID"
1.3.6.1.1.7.1			"LCUP Sync Request Control. RFC 3928 control"
1.3.6.1.1.7.2			"LCUP Sync Update Control. RFC 3928 control"
1.3.6.1.1.7.3			"LCUP Sync Done Control. RFC 3928 control"
1.3.6.1.1.8			"Cancel Operation. RFC 3909 extension"
1.3.6.1.4.1.42.2.27.8.5.1	"passwordPolicyRequest"
1.3.6.1.4.1.1466.101.119.1	"Dynamic Directory Services Refresh Request RFC2589"
1.3.6.1.4.1.1466.20036		"LDAP_NOTICE_OF_DISCONNECTION"
1.3.6.1.4.1.1466.20037		"Start TLS extended operation RFC2830"
1.3.6.1.4.1.1466.29539.1	"LDAP_CONTROL_ATTR_SIZELIMIT"
1.3.6.1.4.1.1466.29539.2	"LDAP_CONTROL_NO_COPY"
1.3.6.1.4.1.1466.29539.3	"LDAP_CONTROL_PARTIAL_COPY"
1.3.6.1.4.1.1466.29539.5	"LDAP_CONTROL_NO_CHAINING"
1.3.6.1.4.1.1466.29539.7	"LDAP_CONTROL_ALIAS_ON_UPDATE"
1.3.6.1.4.1.1466.29539.10	"LDAP_CONTROL_TRIGGER"
1.3.6.1.4.1.1466.29539.12	"nsTransmittedControl"
1.3.6.1.4.1.4203.1.5.1		"All Operational Attribute RFC 3673"
1.3.6.1.4.1.4203.1.5.2		"Return of all attributes of an object class"
1.3.6.1.4.1.4203.1.5.3		"Supports absolute True (&) and False (|) filters"
1.3.6.1.4.1.4203.1.5.4		"Server supports storing attributes with language tag options in the DIT"
1.3.6.1.4.1.4203.1.5.5		"Server supports language range matching of attributes with language tag options stored in the DIT"
1.3.6.1.4.1.4203.1.10.1		"Subentries. RFC 3672 control"
1.3.6.1.4.1.4203.1.10.2		"LDAP_CONTROL_NOOP"
1.3.6.1.4.1.4203.1.11.1		"Modify Password. RFC 3062 extension"
1.3.6.1.4.1.4203.1.11.2		"LDAP Cancel Extended Operation"
1.3.6.1.4.1.4203.1.11.3		"Who Am I? Extended Operation"
1.3.6.1.4.1.4203.666.5.1	"Subentries Control"
1.3.6.1.4.1.4203.666.5.2	"NO OP Control"
1.3.18.0.2.12.1			"The ACL credential controls provide a method to flow a subject's credentials associated with a bind."
1.3.18.0.2.12.5			"tranExtOpInit"
1.3.18.0.2.12.6			"tranExtOpInit"
2.16.840.1.113531.18.2.1	"LDAP_C_SETOPTIONS_OID"
2.16.840.1.113531.18.2.2	"LDAP_C_SETDONTUSECOPY_OID"
